age,gender,country,signup_date,last_purchase_date,num_orders,total_spent,avg_order_value,recency_days,is_premium_member,device_type,preferred_category,churned,customer_lifetime_days
0.7450980392156863,1,3,2022-01-27,2024-04-27,0.7692307692307694,0.10713581470801016,0.11610668392830586,0.30938242280285033,0,1,4,0,0.4787172011661808
1.0,2,4,2025-01-12,2025-08-01,0.7692307692307694,0.0527394022252157,0.027020880168650868,0.03562945368171022,0,1,3,0,0.11720116618075804
0.5490196078431373,0,5,2021-04-25,2021-06-01,0.38461538461538464,0.02753878565500012,0.05968999029032792,0.9394299287410925,0,1,3,0,0.02157434402332367
0.27450980392156865,1,3,2021-02-23,2023-09-22,0.38461538461538464,0.036338156654584355,0.07876206054986484,0.4388361045130641,0,1,3,0,0.5486880466472304
0.823529411764706,0,3,2021-06-07,2021-12-11,0.5384615384615385,0.031011735158280443,0.04801214146379865,0.8248218527315914,0,2,0,0,0.10903790087463561
0.13725490196078438,0,3,2021-12-04,2024-11-18,0.38461538461538464,0.046344790668568,0.10045136853891301,0.1876484560570071,1,0,5,0,0.629737609329446
0.3921568627450981,0,3,2024-01-04,2024-01-23,0.15384615384615385,0.0,0.0,0.3657957244655582,0,1,2,1,0.011078717201166183
0.7450980392156863,1,0,2022-06-29,2023-03-28,0.2307692307692308,0.045614798912050766,0.16478188227678686,0.5445368171021377,0,0,2,0,0.15860058309037903
0.35294117647058826,1,3,2020-11-20,2024-01-06,0.7692307692307694,0.17065841559664036,0.1849491335648492,0.37589073634204273,0,1,1,0,0.6658892128279883
0.43137254901960786,0,3,2024-06-30,2024-09-08,0.5384615384615385,0.11863931925766523,0.18367725399977256,0.22980997624703087,0,0,4,0,0.04081632653061226
0.5294117647058824,0,3,2023-01-07,2024-06-05,0.3076923076923077,0.021207858695421425,0.05745938995267627,0.2862232779097387,0,1,3,0,0.3002915451895044
0.5294117647058824,0,2,2022-03-08,2025-08-03,0.46153846153846156,0.09093756883526039,0.16425441090282453,0.03444180522565321,0,1,0,0,0.7253644314868806
0.4509803921568628,1,0,2023-11-02,2025-04-10,0.6923076923076924,0.047783868844922035,0.05753899176864736,0.10273159144893113,0,1,0,0,0.30612244897959184
0.6862745098039216,0,2,2024-12-04,2024-12-06,0.3076923076923077,0.0527394022252157,0.06294666678329935,0.17695961995249404,1,0,1,0,0.0011661807580174988
0.7647058823529412,0,4,2021-06-30,2022-05-31,0.6923076923076924,0.04011491962220909,0.04830430637076949,0.7232779097387173,0,1,0,0,0.19533527696793004
0.4509803921568628,1,3,2021-05-12,2023-04-09,0.6923076923076924,0.10282366526084333,0.12381581364427609,0.5374109263657957,0,1,4,0,0.40641399416909624
0.5294117647058824,1,3,2022-05-09,2025-04-21,0.7692307692307694,0.12948902756364605,0.14033187834043334,0.09619952494061756,0,1,1,0,0.6285714285714286
0.411764705882353,0,0,2022-09-02,2024-01-14,0.6153846153846154,0.052866609988182434,0.07161714150753593,0.3711401425178147,0,1,4,0,0.29096209912536447
0.019607843137254943,0,2,2024-03-27,2025-09-13,0.38461538461538464,0.0,0.0,0.010095011876484539,1,1,1,0,0.31195335276967934
0.4509803921568628,1,5,2024-12-18,2025-05-28,0.46153846153846156,0.08520256504445291,0.1538956778838163,0.07422802850356297,1,1,0,0,0.09387755102040818
0.8431372549019609,1,2,2022-06-29,2024-02-12,0.3076923076923077,0.07159916381881902,0.19398700128587545,0.3539192399049881,0,1,1,0,0.34577259475218663
0.5686274509803921,1,4,2024-01-20,2024-06-26,0.3076923076923077,0.0,0.0,0.2737529691211401,1,1,2,0,0.09212827988338193
0.7254901960784315,1,5,2022-12-31,2023-07-06,0.7692307692307694,0.7307194882373582,0.7919086066183224,0.4851543942992874,1,1,3,0,0.10903790087463561
0.019607843137254943,0,0,2025-08-27,2025-09-14,0.3076923076923077,0.042656491982803385,0.11557133984726947,0.009501187648456089,1,1,0,0,0.010495626822157461
0.3921568627450981,0,1,2023-09-19,2024-08-02,0.3076923076923077,0.046655061379763524,0.12640418478118245,0.2517814726840855,0,1,5,0,0.18542274052478136
0.6274509803921569,0,5,2020-12-02,2021-06-30,0.5384615384615385,0.02199475493981401,0.03405208233102107,0.922209026128266,0,2,3,0,0.12244897959183676
0.21568627450980393,0,4,2024-10-14,2025-03-14,0.2307692307692308,0.07395839967145529,0.26717168624638077,0.11876484560570072,0,1,0,0,0.08804664723032071
0.411764705882353,0,3,2021-02-05,2024-03-13,0.6153846153846154,0.0527394022252157,0.07280592027571968,0.336104513064133,1,0,3,0,0.6600583090379009
0.8431372549019609,0,5,2025-07-21,2025-08-19,0.6153846153846154,0.0527394022252157,0.10958020976390626,0.024940617577197177,0,0,3,0,0.01690962099125365
0.4705882352941177,0,3,2023-12-24,2024-11-01,0.5384615384615385,0.031427178277563306,0.0486550792081806,0.19774346793349168,0,1,3,0,0.18250728862973764
0.9411764705882353,1,5,2021-12-25,2024-09-17,0.38461538461538464,0.05627724705934961,0.12197972340555811,0.22446555819477435,0,1,1,0,0.5813411078717201
0.5098039215686275,1,0,2022-10-04,2025-04-17,0.3076923076923077,0.0,0.0,0.09857482185273161,0,0,3,0,0.5399416909620991
0.803921568627451,0,5,2024-08-03,2025-07-24,0.0,0.0,0.0,0.040380047505938266,0,1,0,0,0.20699708454810498
0.5294117647058824,0,3,2023-01-07,2024-12-10,0.3076923076923077,0.0650143056268207,0.17614569756558401,0.17458432304038002,1,1,5,0,0.40991253644314873
0.2941176470588236,1,3,2023-10-25,2023-11-12,0.15384615384615385,0.012846369747927647,0.06961047594887987,0.4085510688836105,0,1,5,1,0.010495626822157461
